,WWTP_name,geometry,centroid
0,Plant_24298754,"POLYGON ((-121.8093956 37.6930507, -121.805817 37.6930115, -121.8056706 37.6930099, -121.8056706 37.6904833, -121.8058937 37.6899807, -121.8059778 37.6894001, -121.8060333 37.6892735, -121.8061508 37.6892261, -121.8071187 37.6892498, -121.8095244 37.6896004, -121.8096322 37.6904367, -121.809724 37.6914042, -121.8097223 37.6915312, -121.809522 37.6915461, -121.8093956 37.6930507))",POINT (-121.80761812443576 37.69120463483653)
2,EBMUD Wastewater Treatment Plant,"POLYGON ((-122.2930951 37.8228457, -122.2923804 37.8241395, -122.2923464 37.8241322, -122.2922493 37.8243101, -122.2921713 37.8246004, -122.2921681 37.8247452, -122.2921969 37.8251887, -122.2920161 37.8251593, -122.2919721 37.8254359, -122.2919162 37.8257025, -122.2918483 37.8260651, -122.2916564 37.826488, -122.2917244 37.8266896, -122.2921959 37.8269055, -122.2925522 37.8270548, -122.2926746 37.8270912, -122.292804 37.8271548, -122.2928341 37.82724, -122.2932189 37.8271637, -122.293225 37.8272237, -122.2934566 37.8272571, -122.2937212 37.8272765, -122.2938809 37.8272546, -122.2941777 37.8271973, -122.2943274 37.8271752, -122.2953185 37.8269706, -122.2953333 37.8269667, -122.2953491 37.8269619, -122.2953661 37.8269544, -122.2953807 37.8269469, -122.2954638 37.8269015, -122.2954865 37.8268899, -122.2955094 37.8268787, -122.2955361 37.8268672, -122.2955631 37.8268576, -122.2962989 37.8265886, -122.2965904 37.8264858, -122.2965545 37.82638, -122.2998075 37.8257411, -122.2993529 37.824345, -122.2992255 37.8243701, -122.2991314 37.8242353, -122.2990068 37.8241806, -122.297951 37.8238992, -122.2979134 37.8238716, -122.2972145 37.8236941, -122.2971018 37.8236812, -122.2969923 37.8236856, -122.2963299 37.8235239, -122.2963198 37.8234795, -122.2958524 37.8235457, -122.2957816 37.8233495, -122.2953577 37.8232469, -122.2952498 37.823242, -122.2940298 37.8229193, -122.293803 37.8228723, -122.2935636 37.8228464, -122.2932976 37.8228337, -122.2930951 37.8228457))",POINT (-122.29525305194373 37.825121421764145)
3,Hyperion Wastewater Treatment Plant,"POLYGON ((-118.4291394 33.9195675, -118.4316212 33.9243409, -118.4316291 33.9244394, -118.4318223 33.9248176, -118.4318955 33.9248806, -118.4320683 33.9252113, -118.4331997 33.9273807, -118.4333514 33.9277217, -118.4338023 33.9286692, -118.4346593 33.9305923, -118.4346401 33.9306382, -118.4345877 33.9306876, -118.4336771 33.9306842, -118.4336073 33.930663, -118.4333101 33.930663, -118.4330891 33.9306888, -118.4303801 33.9307092, -118.4293615 33.9307479, -118.4292124 33.9307543, -118.4291923 33.930736, -118.428812 33.9307527, -118.4288264 33.9305582, -118.4288638 33.9304391, -118.4291342 33.9299731, -118.4289351 33.929596, -118.4290203 33.92956, -118.4287775 33.9290448, -118.4287527 33.9278911, -118.4281338 33.9267324, -118.4282118 33.9265614, -118.4283591 33.9264964, -118.427776 33.9253916, -118.4272291 33.9240928, -118.4272718 33.9234815, -118.4258198 33.9206858, -118.4259686 33.9203748, -118.4273031 33.9201549, -118.4275764 33.9201234, -118.4280335 33.9199581, -118.4291394 33.9195675))",POINT (-118.43006416518952 33.92574080520682)
5,Sunnyvale Water Pollution Control Plant,"POLYGON ((-122.018146 37.4191126, -122.017951 37.4195215, -122.0175736 37.4199178, -122.0173848 37.420031, -122.017259 37.4200562, -122.0171018 37.4200499, -122.01702 37.4200436, -122.0128429 37.4190918, -122.0127064 37.4188237, -122.0130846 37.4178565, -122.0132848 37.4177892, -122.0145062 37.4180759, -122.0150077 37.4182357, -122.0159694 37.4184129, -122.0165104 37.4187414, -122.018146 37.4191126))",POINT (-122.01526510162907 37.418974107706056)
6,Plant_30489168,"POLYGON ((-122.4448208 37.4725316, -122.4455208 37.473019, -122.445346 37.4734091, -122.4448518 37.473676, -122.4443296 37.4734862, -122.4435831 37.4730035, -122.4434962 37.4728996, -122.4444401 37.4724612, -122.4445643 37.4724841, -122.4448208 37.4725316))",POINT (-122.44459035023469 37.47304817794685)
7,Burlingame Wastewater Treatment Plant,"POLYGON ((-122.3580287 37.5917262, -122.3574509 37.5917306, -122.3572307 37.5916332, -122.3571694 37.5917283, -122.3564353 37.5917279, -122.3564343 37.5916725, -122.3563601 37.5916719, -122.3562254 37.591669, -122.3562325 37.5911192, -122.3568222 37.5902041, -122.3576257 37.5905352, -122.3573102 37.5910179, -122.3575698 37.5911263, -122.3575906 37.5912024, -122.3580273 37.5914115, -122.3580287 37.5917262))",POINT (-122.35702310337801 37.59113074351707)
11,Wastewater Treatment,"POLYGON ((-122.0336299 36.9627836, -122.0334547 36.9627863, -122.0331569 36.9627999, -122.0330825 36.962754, -122.0325974 36.9624548, -122.0325544 36.9624356, -122.0325067 36.962429, -122.0324664 36.9624323, -122.032427 36.962443, -122.0323899 36.9624565, -122.0323569 36.9624777, -122.0323273 36.9625001, -122.0323052 36.9625203, -122.0322817 36.9625375, -122.0322347 36.9625582, -122.0321932 36.9625664, -122.0321447 36.9625723, -122.0321019 36.9625692, -122.0320598 36.962559, -122.0320172 36.9625401, -122.0319851 36.9625147, -122.0319544 36.962479, -122.0319209 36.9624328, -122.0318926 36.9624117, -122.0318716 36.962396, -122.0318144 36.9623717, -122.0317634 36.962359, -122.0317067 36.9623579, -122.0316449 36.9623715, -122.0315993 36.962389, -122.0315599 36.9624132, -122.0315069 36.962458, -122.031466 36.9624794, -122.0314209 36.9624935, -122.0313741 36.9624984, -122.0313155 36.9624989, -122.0305486 36.9622155, -122.0303556 36.9621531, -122.0299154 36.9620552, -122.0297828 36.9620079, -122.0295614 36.9618728, -122.0294861 36.9618285, -122.029458 36.961704, -122.0294387 36.9616725, -122.0294166 36.9616516, -122.0293966 36.9616424, -122.0293629 36.9616474, -122.029237 36.9617375, -122.0291507 36.9617615, -122.0290585 36.961748, -122.028924 36.9617131, -122.0288467 36.9615428, -122.0290232 36.9613003, -122.0289138 36.9610309, -122.0291891 36.9608896, -122.0295758 36.9608195, -122.0302395 36.960771, -122.030797 36.9608222, -122.0311869 36.9609859, -122.0318586 36.9614251, -122.0318256 36.9614704, -122.0328908 36.962124, -122.0344723 36.9631788, -122.0344102 36.9632397, -122.0338388 36.9628645, -122.033759 36.962816, -122.0336299 36.9627836))",POINT (-122.03101286782221 36.96173047770158)
13,Wastewater Treatment Plant,"POLYGON ((-121.5398556 36.9864142, -121.5383772 36.987168, -121.5325363 36.990146, -121.5324885 36.9904135, -121.5319882 36.990672, -121.5336782 36.9939062, -121.5337447 36.9940169, -121.5303208 36.9949873, -121.5244917 36.9888862, -121.527356 36.9869994, -121.5251464 36.9852426, -121.5243535 36.9847451, -121.5243164 36.9847024, -121.5191757 36.9785741, -121.5232023 36.9761762, -121.5232058 36.9761742, -121.5251613 36.9783366, -121.5286377 36.9752421, -121.5310481 36.9772124, -121.5312919 36.9774117, -121.53194 36.9779414, -121.5302901 36.9792813, -121.5336269 36.9824211, -121.5385328 36.9800234, -121.5435158 36.9762148, -121.549477 36.9812973, -121.5488804 36.9814924, -121.5406599 36.9836313, -121.542052 36.985586, -121.5423846 36.9860694, -121.5412073 36.9863822, -121.5409952 36.9861998, -121.5404895 36.9862128, -121.5398556 36.9864142))",POINT (-121.53261245226864 36.9836508362002)
14,Regional Water Quality Control Plant,"POLYGON ((-122.1139211 37.4532463, -122.1130027 37.4537574, -122.1117587 37.4537574, -122.1100501 37.4537574, -122.1099385 37.4531714, -122.1082477 37.4514203, -122.1086511 37.4513112, -122.1089687 37.4510455, -122.109518 37.4508274, -122.1096725 37.4505481, -122.10993 37.4503573, -122.1103248 37.4504868, -122.1106595 37.4503777, -122.1112706 37.4506056, -122.1113547 37.4506367, -122.1118869 37.4512363, -122.1120095 37.4513583, -122.1139211 37.4532463))",POINT (-122.11102528522011 37.45223965177364)
16,Plant_40937006,"POLYGON ((-121.6767031 38.596594, -121.6653906 38.5966275, -121.6655451 38.5908247, -121.6767031 38.5906101, -121.6767031 38.596594))",POINT (-121.67111443309561 38.59367054544781)
