,WWTP_name,geometry
0,Plant_24298754,POINT (-121.80761812443576 37.69120463483653)
1,Plant_24396910,POINT (-121.78025325269596 36.79990211309372)
2,EBMUD Wastewater Treatment Plant,POINT (-122.29525305194373 37.825121421764145)
3,Hyperion Wastewater Treatment Plant,POINT (-118.43006416518952 33.92574080520682)
5,Sunnyvale Water Pollution Control Plant,POINT (-122.01526510162907 37.418974107706056)
6,Plant_30489168,POINT (-122.44459035023469 37.47304817794685)
7,Burlingame Wastewater Treatment Plant,POINT (-122.35702310337801 37.59113074351707)
8,SMD3,POINT (-121.1340327230393 38.79784594852212)
11,Wastewater Treatment,POINT (-122.03101286782221 36.96173047770158)
12,Plant_36549996,POINT (-121.91933682062725 36.539351885430555)
13,Wastewater Treatment Plant,POINT (-121.53261245226864 36.9836508362002)
14,Regional Water Quality Control Plant,POINT (-122.11102528522011 37.45223965177364)
16,Plant_40937006,POINT (-121.67111443309561 38.59367054544781)
23,Sewage Disposal Plant,POINT (-120.26110383279159 37.10357235164848)
25,Plant_44581519,POINT (-119.42683256605777 36.53512615756219)
27,Plant_47391062,POINT (-121.91333336243535 37.69548219039653)
28,Plant_47391383,POINT (-121.91509986894508 37.68701546922106)
30,Plant_55029658,POINT (-122.0303590348662 36.961605505930805)
31,Sewer Plant #3,POINT (-119.08379178406928 35.27696257963839)
33,Sewer Plant #2,POINT (-118.96802225014696 35.332474475095374)
36,Plant_61139366,POINT (-120.06761685868969 36.70900590723329)
37,Plant_61167484,POINT (-119.33431387320061 36.607070415758194)
49,Plant_68720877,POINT (-114.59729772564286 33.59196166527609)
64,Plant_70394279,POINT (-121.44886510260072 36.85355665878116)
84,Plant_70395155,POINT (-121.37879650036697 36.811973580573365)
114,Plant_70396308,POINT (-121.44684472858057 36.85391134932998)
119,Plant_70396419,POINT (-121.37891332669055 36.81246037406779)
162,Plant_72852761,POINT (-121.65275687602517 36.619105309135634)
246,Pismo Wastewater Treatment,POINT (-120.63370440656828 35.14133669934203)
663,Plant_75122027,POINT (-118.93187468038774 35.093607914071164)
671,Plant_75122212,POINT (-118.89223257032545 35.07495175306488)
672,Plant_75122245,POINT (-119.30427061825459 35.834508094508145)
677,Plant_75122321,POINT (-118.84990944008356 35.18644121141753)
