WWTP_name,geometry
Plant_24298754,"POLYGON ((-121.8093956 37.6930507, -121.805817 37.6930115, -121.8056706 37.6930099, -121.8056706 37.6904833, -121.8058937 37.6899807, -121.8059778 37.6894001, -121.8060333 37.6892735, -121.8061508 37.6892261, -121.8071187 37.6892498, -121.8095244 37.6896004, -121.8096322 37.6904367, -121.809724 37.6914042, -121.8097223 37.6915312, -121.809522 37.6915461, -121.8093956 37.6930507))"
Plant_24396910,"POLYGON ((-121.7836023 36.8042341, -121.7836343 36.8037659, -121.7833675 36.8022232, -121.7828697 36.7990947, -121.782329 36.7983538, -121.7828526 36.7974329, -121.7828135 36.7971656, -121.7827041 36.7968984, -121.7821745 36.7964432, -121.7809986 36.7959414, -121.7799 36.7950548, -121.7790588 36.795261, -121.7784065 36.796072, -121.7771877 36.7992885, -121.7776512 36.8002576, -121.7762693 36.800938, -121.7764839 36.8015634, -121.7779087 36.8024362, -121.7778655 36.8026007, -121.7777709 36.8029603, -121.7803629 36.8036308, -121.7804406 36.8034139, -121.7834145 36.8040794, -121.7836023 36.8042341))"
EBMUD Wastewater Treatment Plant,"POLYGON ((-122.2930951 37.8228457, -122.2923804 37.8241395, -122.2923464 37.8241322, -122.2922493 37.8243101, -122.2921713 37.8246004, -122.2921681 37.8247452, -122.2921969 37.8251887, -122.2920161 37.8251593, -122.2919721 37.8254359, -122.2919162 37.8257025, -122.2918483 37.8260651, -122.2916564 37.826488, -122.2917244 37.8266896, -122.2921959 37.8269055, -122.2925522 37.8270548, -122.2926746 37.8270912, -122.292804 37.8271548, -122.2928341 37.82724, -122.2932189 37.8271637, -122.293225 37.8272237, -122.2934566 37.8272571, -122.2937212 37.8272765, -122.2938809 37.8272546, -122.2941777 37.8271973, -122.2943274 37.8271752, -122.2953185 37.8269706, -122.2953333 37.8269667, -122.2953491 37.8269619, -122.2953661 37.8269544, -122.2953807 37.8269469, -122.2954638 37.8269015, -122.2954865 37.8268899, -122.2955094 37.8268787, -122.2955361 37.8268672, -122.2955631 37.8268576, -122.2962989 37.8265886, -122.2965904 37.8264858, -122.2965545 37.82638, -122.2998075 37.8257411, -122.2993529 37.824345, -122.2992255 37.8243701, -122.2991314 37.8242353, -122.2990068 37.8241806, -122.297951 37.8238992, -122.2979134 37.8238716, -122.2972145 37.8236941, -122.2971018 37.8236812, -122.2969923 37.8236856, -122.2963299 37.8235239, -122.2963198 37.8234795, -122.2958524 37.8235457, -122.2957816 37.8233495, -122.2953577 37.8232469, -122.2952498 37.823242, -122.2940298 37.8229193, -122.293803 37.8228723, -122.2935636 37.8228464, -122.2932976 37.8228337, -122.2930951 37.8228457))"
Hyperion Wastewater Treatment Plant,"POLYGON ((-118.4291394 33.9195675, -118.4316212 33.9243409, -118.4316291 33.9244394, -118.4318223 33.9248176, -118.4318955 33.9248806, -118.4320683 33.9252113, -118.4331997 33.9273807, -118.4333514 33.9277217, -118.4338023 33.9286692, -118.4346593 33.9305923, -118.4346401 33.9306382, -118.4345877 33.9306876, -118.4336771 33.9306842, -118.4336073 33.930663, -118.4333101 33.930663, -118.4330891 33.9306888, -118.4303801 33.9307092, -118.4293615 33.9307479, -118.4292124 33.9307543, -118.4291923 33.930736, -118.428812 33.9307527, -118.4288264 33.9305582, -118.4288638 33.9304391, -118.4291342 33.9299731, -118.4289351 33.929596, -118.4290203 33.92956, -118.4287775 33.9290448, -118.4287527 33.9278911, -118.4281338 33.9267324, -118.4282118 33.9265614, -118.4283591 33.9264964, -118.427776 33.9253916, -118.4272291 33.9240928, -118.4272718 33.9234815, -118.4258198 33.9206858, -118.4259686 33.9203748, -118.4273031 33.9201549, -118.4275764 33.9201234, -118.4280335 33.9199581, -118.4291394 33.9195675))"
San José–Santa Clara Regional Wastewater Facility,"POLYGON ((-121.9553885 37.4306174, -121.9545195 37.4312543, -121.9543317 37.4313011, -121.9541788 37.431414, -121.9542191 37.4314694, -121.9532454 37.4321446, -121.9458452 37.4351902, -121.9456441 37.435301, -121.9450754 37.4355395, -121.9442681 37.4356148, -121.9437531 37.4356352, -121.9432553 37.435533, -121.9427059 37.4353353, -121.9422081 37.4349673, -121.9418219 37.434497, -121.9416588 37.4341017, -121.9415043 37.4331135, -121.9408091 37.4286969, -121.9410837 37.4287651, -121.941573 37.4287378, -121.9418562 37.4287174, -121.9421824 37.4286151, -121.9425429 37.4284925, -121.9427918 37.4283493, -121.9476669 37.428288, -121.9496239 37.4291877, -121.9504049 37.4295489, -121.9507311 37.4295966, -121.9510229 37.4295489, -121.9511603 37.4294467, -121.9513319 37.4293581, -121.9516924 37.4293785, -121.9518695 37.4294119, -121.9519741 37.4295077, -121.9527734 37.4307239, -121.9545195 37.4297058, -121.9550707 37.4302841, -121.9553885 37.4306174))"
Sunnyvale Water Pollution Control Plant,"POLYGON ((-122.018146 37.4191126, -122.017951 37.4195215, -122.0175736 37.4199178, -122.0173848 37.420031, -122.017259 37.4200562, -122.0171018 37.4200499, -122.01702 37.4200436, -122.0128429 37.4190918, -122.0127064 37.4188237, -122.0130846 37.4178565, -122.0132848 37.4177892, -122.0145062 37.4180759, -122.0150077 37.4182357, -122.0159694 37.4184129, -122.0165104 37.4187414, -122.018146 37.4191126))"
Plant_30489168,"POLYGON ((-122.4448208 37.4725316, -122.4455208 37.473019, -122.445346 37.4734091, -122.4448518 37.473676, -122.4443296 37.4734862, -122.4435831 37.4730035, -122.4434962 37.4728996, -122.4444401 37.4724612, -122.4445643 37.4724841, -122.4448208 37.4725316))"
Burlingame Wastewater Treatment Plant,"POLYGON ((-122.3580287 37.5917262, -122.3574509 37.5917306, -122.3572307 37.5916332, -122.3571694 37.5917283, -122.3564353 37.5917279, -122.3564343 37.5916725, -122.3563601 37.5916719, -122.3562254 37.591669, -122.3562325 37.5911192, -122.3568222 37.5902041, -122.3576257 37.5905352, -122.3573102 37.5910179, -122.3575698 37.5911263, -122.3575906 37.5912024, -122.3580273 37.5914115, -122.3580287 37.5917262))"
SMD3,"POLYGON ((-121.1329211 38.7976885, -121.134406 38.7987187, -121.1352042 38.7980631, -121.1336163 38.7969527, -121.1333674 38.7971801, -121.1331099 38.7974477, -121.1329211 38.7976885))"
Plant_32736826,"POLYGON ((-116.8859458 36.4681505, -116.8852057 36.4662665, -116.8830886 36.4668045, -116.8838287 36.4686882, -116.8859458 36.4681505))"
