,WWTP_name,geometry,centroid
0,Plant_27449381,"POLYGON ((-96.77142 32.7264383, -96.7641074 32.728849, -96.7647101 32.7309062, -96.7650798 32.7318705, -96.7653208 32.7325776, -96.7656342 32.7333008, -96.7696832 32.7372668, -96.7710231 32.7371599, -96.7721754 32.7387169, -96.7743611 32.7408384, -96.7751647 32.7415777, -96.7757272 32.7416098, -96.7796004 32.7396009, -96.7797772 32.7379937, -96.7799178 32.7374473, -96.7780455 32.7332044, -96.7766794 32.7337991, -96.77142 32.7264383))",POINT (-96.77223668805873 32.73389529171022)
1,City of Leander Wastewater Treatment Plant,"POLYGON ((-97.842396 30.580638, -97.8413319 30.5813424, -97.8414161 30.5814371, -97.8410178 30.5817099, -97.8408596 30.5815317, -97.8405451 30.581474, -97.8404706 30.5813166, -97.8397701 30.581834, -97.8397365 30.5818169, -97.8396704 30.5817968, -97.8404473 30.5812482, -97.8403629 30.5810208, -97.8408042 30.5807287, -97.8402217 30.5798388, -97.8404689 30.5796992, -97.8405126 30.5795893, -97.8403515 30.5794556, -97.8403175 30.5793615, -97.8403336 30.5792299, -97.8404561 30.5790896, -97.8406147 30.5790468, -97.8408355 30.5791418, -97.841104 30.5794348, -97.8412717 30.5794207, -97.8424409 30.5806035, -97.842396 30.580638))",POINT (-97.84113468817816 30.58041843037148)
2,Plant_29415748,"POLYGON ((-97.8223762 30.5548747, -97.8220364 30.5550155, -97.822133 30.55518, -97.8214637 30.5554599, -97.8210256 30.5546976, -97.8220429 30.5542664, -97.8223762 30.5548747))",POINT (-97.82171087066445 30.554852220548423)
3,Plant_29660147,"POLYGON ((-97.7969288 30.4637963, -97.7966541 30.4635447, -97.7983536 30.4621317, -97.7984823 30.4618505, -97.7986883 30.4619393, -97.7987312 30.4620725, -97.7987141 30.46225, -97.7987827 30.4624424, -97.7987574 30.4624507, -97.7985338 30.4625238, -97.7969288 30.4637963))",POINT (-97.7977999233192 30.462842100993722)
4,Albert H. Ullrich Water Treatment Plant,"POLYGON ((-97.7989946 30.2900749, -97.7993293 30.2895857, -97.7971468 30.2885476, -97.7964211 30.2882204, -97.7962745 30.2884136, -97.7959186 30.2882693, -97.7954358 30.2883613, -97.7947917 30.2885843, -97.7945147 30.2887146, -97.7937518 30.2896208, -97.793577 30.2897931, -97.7936522 30.2898472, -97.7933045 30.2902692, -97.7929755 30.2906884, -97.7941503 30.2910644, -97.794993 30.2913268, -97.7950933 30.2912835, -97.7951496 30.2913052, -97.7951528 30.2913701, -97.795228 30.2914323, -97.796102 30.2914242, -97.7966972 30.2913863, -97.7971264 30.2913809, -97.7974491 30.2914918, -97.7975391 30.2915483, -97.7978433 30.2917578, -97.7989946 30.2900749))",POINT (-97.79621463741857 30.289993827856218)
5,Plant_43545879,"POLYGON ((-94.9208057 29.7585258, -94.9192296 29.7588427, -94.9187463 29.7573846, -94.9186862 29.7569226, -94.9194501 29.756796, -94.9194501 29.7572207, -94.9202226 29.7571387, -94.920686 29.7573176, -94.9211152 29.7574591, -94.9212715 29.7581721, -94.9208035 29.7582443, -94.9208057 29.7585258))",POINT (-94.91988352914521 29.757841199688396)
6,Plant_45099212,"POLYGON ((-95.0477815 29.6111079, -95.0453568 29.6122272, -95.0443912 29.6130107, -95.0429106 29.6132719, -95.0408078 29.6120033, -95.0408936 29.6101378, -95.0412369 29.6098953, -95.0412369 29.6097274, -95.0404215 29.6083282, -95.0405503 29.6079738, -95.0408936 29.6075633, -95.0413657 29.6074887, -95.0417305 29.6073208, -95.0420309 29.6069663, -95.0423313 29.6067052, -95.0425673 29.6063507, -95.042739 29.6052686, -95.0433183 29.6053433, -95.0445414 29.6060149, -95.0455285 29.6070783, -95.0467945 29.6091864, -95.0477815 29.6111079))",POINT (-95.04376538135206 29.609616491463207)
7,Plant_46773427,"POLYGON ((-95.2376439 29.604226, -95.2394035 29.6038015, -95.2388992 29.6021644, -95.2369465 29.6025515, -95.2362599 29.6031998, -95.2375152 29.6042633, -95.2376439 29.604226))",POINT (-95.23794845914695 29.60321939751558)
8,Plant_71292432,"POLYGON ((-97.451347 25.9578568, -97.4546522 25.9580948, -97.4549315 25.9549641, -97.4516255 25.954726, -97.451347 25.9578568))",POINT (-97.45313905140756 25.956410337594615)
9,Plant_71379947,"POLYGON ((-97.9725418 26.0613321, -97.9726517 26.0613201, -97.9727536 26.0613321, -97.9731748 26.0614598, -97.9734322 26.0614911, -97.9737756 26.0614863, -97.9741994 26.0614526, -97.9746103 26.0613868, -97.975055 26.0611445, -97.9752013 26.0611114, -97.975311 26.061172, -97.9753781 26.061271, -97.9753843 26.0617223, -97.975427 26.061992, -97.9754089 26.0623277, -97.9753846 26.0624488, -97.9753419 26.0625039, -97.9752626 26.062548, -97.9749214 26.0625755, -97.9744583 26.0625647, -97.9741049 26.0625867, -97.972362 26.0625344, -97.9721206 26.0625344, -97.9719973 26.0625055, -97.9719403 26.0624634, -97.9719201 26.0623495, -97.9719061 26.0619537, -97.9719141 26.0618525, -97.9719651 26.0617514, -97.9720429 26.0616815, -97.9724291 26.0613827, -97.9725418 26.0613321))",POINT (-97.97374711482237 26.06197378411109)
