WWTP_name,geometry
Wastewater Treatment Plant,"POLYGON ((-121.5398556 36.9864142, -121.5383772 36.987168, -121.5325363 36.990146, -121.5324885 36.9904135, -121.5319882 36.990672, -121.5336782 36.9939062, -121.5337447 36.9940169, -121.5303208 36.9949873, -121.5244917 36.9888862, -121.527356 36.9869994, -121.5251464 36.9852426, -121.5243535 36.9847451, -121.5243164 36.9847024, -121.5191757 36.9785741, -121.5232023 36.9761762, -121.5232058 36.9761742, -121.5251613 36.9783366, -121.5286377 36.9752421, -121.5310481 36.9772124, -121.5312919 36.9774117, -121.53194 36.9779414, -121.5302901 36.9792813, -121.5336269 36.9824211, -121.5385328 36.9800234, -121.5435158 36.9762148, -121.549477 36.9812973, -121.5488804 36.9814924, -121.5406599 36.9836313, -121.542052 36.985586, -121.5423846 36.9860694, -121.5412073 36.9863822, -121.5409952 36.9861998, -121.5404895 36.9862128, -121.5398556 36.9864142))"
Davis Wetlands,"POLYGON ((-121.6452376 38.5894629, -121.6448256 38.5885438, -121.6450659 38.5777751, -121.6446196 38.5771176, -121.6436583 38.5768022, -121.6392123 38.5768223, -121.6379076 38.5765338, -121.6369807 38.5760305, -121.6362769 38.5754803, -121.6353327 38.5755273, -121.6340624 38.5765808, -121.632878 38.5782314, -121.6319338 38.58009, -121.6314875 38.5817674, -121.6313588 38.5850349, -121.631436 38.5896507, -121.6452376 38.5894629))"
Sewer Plant #3,"POLYGON ((-119.0744956 35.2743227, -119.0780485 35.2743372, -119.0795292 35.2743363, -119.0795187 35.2718714, -119.0796108 35.2717953, -119.0889389 35.2717661, -119.092001 35.2717565, -119.0920569 35.2816063, -119.0745225 35.2815155, -119.0745038 35.276845, -119.0744956 35.2743227))"
Sewer Plant #2,"POLYGON ((-118.9675426 35.3252433, -118.9764622 35.32518, -118.976446 35.3323679, -118.9786985 35.332418, -118.9786575 35.3359094, -118.9765279 35.3358927, -118.9765031 35.3392691, -118.976501 35.339557, -118.9588694 35.3396028, -118.9590244 35.3311942, -118.9589561 35.3253094, -118.9675426 35.3252433))"
Fresno Clovis Regional Waste Water Treatment Plant,"POLYGON ((-119.9127492 36.7061639, -119.9073943 36.7061652, -119.8984794 36.7061669, -119.8895893 36.7061751, -119.889496 36.6992158, -119.889555 36.6989319, -119.8895505 36.692954, -119.8896106 36.6928462, -119.889416 36.6926475, -119.8891222 36.6928859, -119.8891187 36.6919891, -119.8895926 36.6919834, -119.8895477 36.6846189, -119.8895413 36.6774391, -119.9075682 36.6774139, -119.9075529 36.6845504, -119.9166051 36.6845148, -119.9166184 36.6917452, -119.9341973 36.6917569, -119.9342613 36.6918122, -119.9341196 36.7025116, -119.9341716 36.7059755, -119.9328059 36.7059853, -119.9318449 36.7059939, -119.929751 36.7060349, -119.9275095 36.7060518, -119.9252681 36.7060686, -119.9163094 36.7061355, -119.9162046 36.7062179, -119.9127487 36.7062189, -119.9127492 36.7061639))"
61/60,"POLYGON ((-119.929848 36.6957486, -119.9333158 36.6956019, -119.9334399 36.6956795, -119.9333756 36.6986595, -119.9332461 36.698778, -119.9298289 36.698819, -119.92972 36.6986891, -119.9297045 36.6958944, -119.929848 36.6957486))"
5/4,"POLYGON ((-119.9020276 36.7011543, -119.9020338 36.705796, -119.899273 36.7057849, -119.8989838 36.7055193, -119.8989682 36.7042324, -119.8989088 36.7038048, -119.8988583 36.7033681, -119.8988352 36.7012532, -119.8989484 36.7011531, -119.8995197 36.7011684, -119.9020276 36.7011543))"
53/52,"POLYGON ((-119.9298639 36.6992207, -119.9334301 36.6991528, -119.9334173 36.7024018, -119.9297995 36.7023863, -119.9298639 36.6992207))"
72/73,"POLYGON ((-119.898421 36.688272, -119.8984254 36.6916619, -119.8943094 36.6916655, -119.8943044 36.6882801, -119.8965814 36.6882778, -119.8968054 36.6885037, -119.897027 36.6884952, -119.8972675 36.6882729, -119.898421 36.688272))"
33/32,"POLYGON ((-119.9050659 36.6952325, -119.9050885 36.692539, -119.9052741 36.6923854, -119.9103408 36.6923368, -119.9105398 36.692613, -119.9108397 36.6927618, -119.9108745 36.6930965, -119.9107222 36.6938264, -119.910492 36.694014, -119.9104497 36.6942751, -119.9107034 36.6945366, -119.9106782 36.6950648, -119.9104427 36.6952579, -119.9099604 36.695405, -119.9079976 36.695402, -119.9076258 36.6952553, -119.9071849 36.6954326, -119.9051823 36.6954794, -119.9050659 36.6952325))"
36/37,"POLYGON ((-119.9124839 36.6923261, -119.9162588 36.6924267, -119.9163076 36.693743, -119.9161236 36.6938656, -119.9157116 36.6938656, -119.9152803 36.6938832, -119.9144982 36.6938535, -119.9141082 36.6938402, -119.9138276 36.6937993, -119.9136458 36.6938449, -119.9136093 36.6939753, -119.9137262 36.6940772, -119.9140052 36.6940295, -119.9143362 36.6939705, -119.9157084 36.6939856, -119.9162642 36.6940436, -119.9163468 36.694183, -119.9163216 36.6954579, -119.9161118 36.6955844, -119.9109437 36.6955022, -119.9108847 36.6953267, -119.9109496 36.6951345, -119.9110258 36.6945529, -119.9111138 36.6943654, -119.9111894 36.6941133, -119.911073 36.6938084, -119.9111937 36.6924138, -119.9124839 36.6923261))"
14/15/16,"POLYGON ((-119.9106013 36.7029871, -119.9163498 36.7030654, -119.9163809 36.7057345, -119.9158214 36.7058936, -119.9094259 36.7058446, -119.9094876 36.703188, -119.9095579 36.7029846, -119.9106013 36.7029871))"
Plant_80116042,"POLYGON ((-117.8833408 34.8689759, -117.8834875 34.86891, -117.8836208 34.8690968, -117.8834474 34.8691682, -117.8833408 34.8689759))"
Plant_80116194,"POLYGON ((-117.8674146 34.9813983, -117.8658788 34.9818663, -117.8657919 34.9817838, -117.8653974 34.9809266, -117.8653839 34.9808111, -117.8654306 34.9807287, -117.8665723 34.9803489, -117.8673203 34.9802551, -117.8673604 34.9803211, -117.8674146 34.9813983))"
Plant_80116533,"POLYGON ((-117.8674204 34.9801946, -117.8671532 34.9802057, -117.8664454 34.9802775, -117.8663452 34.9802116, -117.8663046 34.9794916, -117.8662509 34.9790298, -117.8662842 34.9789144, -117.8666915 34.9788317, -117.867573 34.9788314, -117.8681607 34.9788586, -117.8681879 34.9794302, -117.8682813 34.9794521, -117.8682882 34.9796885, -117.8681882 34.9798919, -117.8680814 34.9800074, -117.8677943 34.9801449, -117.8676541 34.9802275, -117.8674807 34.9804694, -117.8674405 34.9804529, -117.8674204 34.9801946))"
Plant_80679033,"POLYGON ((-121.1002224 37.5402999, -121.1001205 37.5402255, -121.1001178 37.5397448, -121.1000212 37.5395789, -121.0937435 37.5331908, -121.093478 37.5328462, -121.0934485 37.5324888, -121.0935316 37.5323974, -121.0936523 37.5323421, -121.0942907 37.5323527, -121.0945643 37.532223, -121.094693 37.5320464, -121.0947011 37.5318061, -121.093993 37.5301661, -121.0936443 37.5298173, -121.0933814 37.5296939, -121.0928356 37.5296418, -121.0924467 37.5295992, -121.092334 37.5295142, -121.0919987 37.5289356, -121.0896599 37.5246174, -121.0896223 37.5244643, -121.0896813 37.5243366, -121.0908025 37.5234389, -121.0909688 37.5233964, -121.0947279 37.523374, -121.0948915 37.5234102, -121.0961441 37.5252864, -121.0963681 37.52553, -121.0967007 37.5257385, -121.0997208 37.5271488, -121.1000367 37.5274161, -121.1003471 37.5276114, -121.100838 37.5277965, -121.1050329 37.5282815, -121.1052918 37.5283974, -121.1054581 37.5285889, -121.105568 37.528825, -121.1056029 37.5290824, -121.1057357 37.5321273, -121.1057169 37.532408, -121.1056391 37.5328185, -121.1056606 37.5330759, -121.1058644 37.5338033, -121.1058859 37.5340203, -121.105623 37.5359983, -121.1056659 37.5362833, -121.1063258 37.5377679, -121.1063794 37.5379891, -121.1063848 37.5386314, -121.1063365 37.538742, -121.106197 37.5388824, -121.1039386 37.5406519, -121.1037133 37.5407455, -121.1034719 37.540754, -121.1031983 37.5407242, -121.1011746 37.5404849, -121.1011075 37.5404381, -121.1002224 37.5402999))"
Plant_80679040,"POLYGON ((-121.0996636 37.5403519, -121.0994635 37.5404398, -121.0943526 37.5414848, -121.0940215 37.5415398, -121.0902543 37.539371, -121.0901578 37.5393052, -121.0898887 37.5391679, -121.0896955 37.539113, -121.0893161 37.5391076, -121.0888884 37.5391296, -121.0870261 37.5393332, -121.0857845 37.5394323, -121.0856258 37.5394324, -121.0854051 37.5393061, -121.0837769 37.5381144, -121.0830594 37.5376257, -121.0829007 37.5374829, -121.0829145 37.5374499, -121.0825695 37.5371809, -121.0825143 37.5371039, -121.0826109 37.5370271, -121.0845697 37.5365818, -121.0862732 37.5355378, -121.0872317 37.5350049, -121.0876661 37.5346862, -121.0883832 37.533983, -121.0899348 37.5326754, -121.0899554 37.5326754, -121.0901623 37.5324611, -121.0904243 37.5322743, -121.0928797 37.5322627, -121.09299 37.5323122, -121.092997 37.532455, -121.0930524 37.532801, -121.0930938 37.5329383, -121.0996839 37.5396378, -121.099691 37.5398849, -121.0996842 37.5402255, -121.0996636 37.5403519))"
Colton/San Bernardino Rapid Infiltration and Extraction Treatment Facility,"POLYGON ((-117.3616481 34.0431252, -117.361606 34.0431223, -117.3614986 34.0430555, -117.3596869 34.042154, -117.3587127 34.0414723, -117.3572046 34.0406932, -117.3555024 34.0394971, -117.353681 34.0442161, -117.3536635 34.0444478, -117.3538404 34.0447573, -117.356014 34.047371, -117.3567441 34.0481765, -117.3569582 34.0478959, -117.3572815 34.0474488, -117.3575349 34.0470941, -117.3577424 34.046857, -117.3580635 34.0465655, -117.3589657 34.0458343, -117.3592868 34.0455194, -117.3594965 34.0452605, -117.359656 34.0449745, -117.3598089 34.0446523, -117.3599706 34.0443826, -117.3601956 34.0441075, -117.3604817 34.0438269, -117.3607766 34.0435971, -117.3611393 34.0433871, -117.3616481 34.0431252))"
Plant_135245195,"POLYGON ((-117.9079992 34.6480345, -117.9082174 34.6480026, -117.9253752 34.6533554, -117.9255669 34.6535024, -117.9256624 34.6580971, -117.9247489 34.6581164, -117.9212371 34.6570161, -117.9187998 34.6562524, -117.9082805 34.6529555, -117.9080459 34.6527898, -117.9079514 34.6481951, -117.9079992 34.6480345))"
Plant_147936725,"POLYGON ((-121.4647662 38.4464995, -121.4648409 38.447417, -121.4649118 38.4478472, -121.4672252 38.4478895, -121.4672286 38.4465717, -121.4688356 38.4465649, -121.4691018 38.4466841, -121.4694196 38.4469215, -121.4695202 38.4469583, -121.4699775 38.4470097, -121.4740598 38.4469803, -121.4747277 38.4488856, -121.4748625 38.449197, -121.4748484 38.4507089, -121.4749825 38.4508013, -121.4751032 38.4508223, -121.4767849 38.450816, -121.476903 38.4508875, -121.4769727 38.4509652, -121.4770398 38.450982, -121.4795584 38.4509799, -121.4792284 38.4514147, -121.4783219 38.4533325, -121.4783071 38.4537294, -121.4783031 38.4544751, -121.4782266 38.4546106, -121.4781448 38.4546704, -121.4780483 38.4547125, -121.4778471 38.4547387, -121.4769606 38.4547482, -121.4768077 38.4547702, -121.4766616 38.4548332, -121.4764979 38.4549477, -121.4764322 38.4550454, -121.4756437 38.4562321, -121.4755552 38.4563067, -121.4754184 38.4563854, -121.4752601 38.4564253, -121.4749168 38.4564694, -121.4728904 38.4567362, -121.4726543 38.4567509, -121.4724103 38.4567372, -121.4690548 38.4562626, -121.4688885 38.4562227, -121.4687276 38.4561449, -121.4685693 38.4560294, -121.4683212 38.4557868, -121.4681214 38.4556681, -121.467939 38.4556251, -121.4678398 38.4556156, -121.4655599 38.4555946, -121.4654244 38.4555621, -121.4652883 38.4554922, -121.4613077 38.4527643, -121.4609176 38.4520363, -121.4603748 38.4517577, -121.4601424 38.4516384, -121.4597202 38.4515168, -121.459102 38.445935, -121.459879 38.4458754, -121.4601097 38.4461338, -121.4602974 38.4463291, -121.4604959 38.446478, -121.4631553 38.4464769, -121.4642954 38.4464765, -121.4647662 38.4464995))"
Plant_173699098,"POLYGON ((-117.6322179 35.6779644, -117.6323137 35.6748433, -117.6289566 35.6762759, -117.6286802 35.676225, -117.6277262 35.6747138, -117.6276804 35.6743965, -117.6302872 35.6731152, -117.6323007 35.6722842, -117.6346795 35.671307, -117.6348746 35.6716548, -117.6361137 35.6711845, -117.6377141 35.670182, -117.6382046 35.669564, -117.6384442 35.6685847, -117.6384947 35.6672287, -117.6386197 35.6671645, -117.6390747 35.6671241, -117.63987 35.6671726, -117.6399594 35.6670955, -117.6400329 35.6667007, -117.6417612 35.6666013, -117.6445254 35.666564, -117.6449396 35.6666249, -117.6465235 35.6666565, -117.6466585 35.6664318, -117.646664 35.665623, -117.646454 35.6656188, -117.6464763 35.664888, -117.6476598 35.6649275, -117.6475977 35.6669642, -117.6468274 35.6669535, -117.6467985 35.6678984, -117.6467741 35.6686979, -117.6465843 35.6690577, -117.6460404 35.6693013, -117.6456328 35.6694749, -117.6451695 35.6696846, -117.6447761 35.6697121, -117.6419429 35.6696547, -117.6419148 35.670572, -117.6419087 35.671213, -117.6448238 35.6700324, -117.6450455 35.6700009, -117.6451757 35.6700754, -117.645088 35.6729465, -117.6422511 35.6771351, -117.6402811 35.6770867, -117.6361331 35.6770026, -117.6361001 35.6780793, -117.6359633 35.6782201, -117.6323447 35.6781466, -117.6322179 35.6779644))"
Orange County Sanitation District Plant No. 2,"POLYGON ((-117.9536606 33.6460521, -117.9542191 33.6462486, -117.9550366 33.6449194, -117.9559491 33.6439021, -117.9563431 33.6434629, -117.9568026 33.6429506, -117.9600009 33.6395308, -117.9617232 33.6376118, -117.9624897 33.6367936, -117.9624487 33.6366235, -117.9581114 33.6335368, -117.9580714 33.6334404, -117.9574402 33.6329653, -117.9573572 33.6330146, -117.9566572 33.635513, -117.9557854 33.6384293, -117.955021 33.6412188, -117.9540256 33.6447166, -117.9536606 33.6460521))"
57/56,"POLYGON ((-119.9252305 36.6958123, -119.9252091 36.6988576, -119.9212608 36.698892, -119.9211321 36.6959844, -119.9252305 36.6958123))"
48/49,"POLYGON ((-119.9212179 36.6993909, -119.9213896 36.6992361, -119.9251876 36.6992361, -119.9252305 36.7024188, -119.9211965 36.7025221, -119.9212179 36.6993909))"
41/40,"POLYGON ((-119.9252926 36.7055815, -119.9213006 36.7056378, -119.9212421 36.7029721, -119.9252341 36.7029158, -119.9252926 36.7055815))"
46/47,"POLYGON ((-119.9166689 36.6994942, -119.9170122 36.6992705, -119.9203811 36.6992189, -119.9208102 36.6995286, -119.9207673 36.7025221, -119.9166904 36.7025393, -119.9166689 36.6994942))"
55/54,"POLYGON ((-119.9207029 36.6986683, -119.920424 36.6988576, -119.9169478 36.698892, -119.9167762 36.6986855, -119.9167118 36.6960704, -119.9169264 36.6959156, -119.9173985 36.6960016, -119.9177418 36.6958984, -119.9206386 36.6958812, -119.9207029 36.6986683))"
59/58,"POLYGON ((-119.9292431 36.6957951, -119.9291787 36.6987888, -119.9257026 36.6988748, -119.9256811 36.6959328, -119.9292431 36.6957951))"
91/97,"POLYGON ((-119.9074636 36.6860048, -119.9029574 36.6859875, -119.9028931 36.681221, -119.9072061 36.6811349, -119.9073134 36.6846454, -119.9075065 36.6847486, -119.9074636 36.6860048))"
74/82/83,"POLYGON ((-119.9028502 36.6900828, -119.9029951 36.6914703, -119.899079 36.6915005, -119.8990092 36.6865554, -119.9024854 36.6864694, -119.9024639 36.6898591, -119.9028502 36.6900828))"
44/43/42,"POLYGON ((-119.9313636 36.7055123, -119.9257415 36.7055881, -119.9256859 36.7029394, -119.931308 36.7028635, -119.9313636 36.7055123))"
90/96,"POLYGON ((-119.9025927 36.6859703, -119.8989019 36.6860048, -119.898859 36.681221, -119.9024854 36.6811693, -119.9025927 36.6859703))"
51/50,"POLYGON ((-119.925724 36.6992017, -119.9292646 36.6991673, -119.929286 36.7024188, -119.9256811 36.702436, -119.925724 36.6992017))"
39/38,"POLYGON ((-119.9207956 36.7056239, -119.916697 36.7056999, -119.9166201 36.7030337, -119.9207187 36.7029577, -119.9207956 36.7056239))"
31/30,"POLYGON ((-119.9047599 36.6953822, -119.9040732 36.6956059, -119.9004898 36.6956747, -119.9004254 36.6954682, -119.9001679 36.6954166, -119.899653 36.6957951, -119.8989663 36.6957951, -119.8989449 36.6924572, -119.9046526 36.6924056, -119.9047599 36.6953822))"
7/6,"POLYGON ((-119.9055538 36.7057047, -119.9023781 36.7057219, -119.9023137 36.7012834, -119.9030218 36.701249, -119.9037299 36.7015931, -119.9044809 36.7019027, -119.9051461 36.7020748, -119.9055163 36.7020928, -119.9055538 36.7057047))"
19/21/25,"POLYGON ((-119.8983655 36.6989092, -119.8976359 36.6990468, -119.8956833 36.698978, -119.8946104 36.6988576, -119.8944817 36.6957435, -119.8966274 36.6955543, -119.896842 36.6958295, -119.8972712 36.6958812, -119.8974214 36.6956059, -119.8983655 36.6954854, -119.8983226 36.6965005, -119.8979149 36.6968962, -119.8983226 36.6974124, -119.8983655 36.6989092))"
Ellis Creek Water Recycling Facility,"POLYGON ((-122.5763809 38.2264522, -122.5769859 38.2258819, -122.5779235 38.2255535, -122.584032 38.2184792, -122.5849425 38.2185908, -122.585298 38.2188102, -122.585547 38.2192046, -122.5891 38.2192805, -122.588332 38.2197744, -122.585656 38.2197576, -122.587165 38.2220494, -122.58658 38.2237534, -122.5924 38.225925, -122.5921913 38.2261542, -122.5913417 38.2271072, -122.5867203 38.2254871, -122.5865949 38.2255317, -122.5823199 38.2301193, -122.5764719 38.2268282, -122.5763809 38.2264522))"
Plant_453332986,"POLYGON ((-117.8935821 34.8808781, -117.893546 34.8803071, -117.8934441 34.8787946, -117.8903782 34.8788936, -117.890361 34.8781189, -117.8891493 34.8781224, -117.8891277 34.8790917, -117.8893433 34.8790953, -117.8893735 34.8808817, -117.8935821 34.8808781))"
Shafter Waste Water Treatment Plant,"POLYGON ((-119.3502679 35.4564767, -119.341471 35.456462, -119.3414846 35.4420742, -119.3505103 35.4420946, -119.3502679 35.4564767))"
