plant_name,node,coordinates
EBMUD Wastewater Treatment Plant,0,"(-122.2930951, 37.8228457)"
EBMUD Wastewater Treatment Plant,1,"(-122.2923804, 37.8241395)"
EBMUD Wastewater Treatment Plant,2,"(-122.2923464, 37.8241322)"
EBMUD Wastewater Treatment Plant,3,"(-122.2922493, 37.8243101)"
EBMUD Wastewater Treatment Plant,4,"(-122.2921713, 37.8246004)"
EBMUD Wastewater Treatment Plant,5,"(-122.2921681, 37.8247452)"
EBMUD Wastewater Treatment Plant,6,"(-122.2921969, 37.8251887)"
EBMUD Wastewater Treatment Plant,7,"(-122.2920161, 37.8251593)"
EBMUD Wastewater Treatment Plant,8,"(-122.2919721, 37.8254359)"
EBMUD Wastewater Treatment Plant,9,"(-122.2919162, 37.8257025)"
EBMUD Wastewater Treatment Plant,10,"(-122.2918483, 37.8260651)"
EBMUD Wastewater Treatment Plant,11,"(-122.2916564, 37.826488)"
EBMUD Wastewater Treatment Plant,12,"(-122.2917244, 37.8266896)"
EBMUD Wastewater Treatment Plant,13,"(-122.2921959, 37.8269055)"
EBMUD Wastewater Treatment Plant,14,"(-122.2925522, 37.8270548)"
EBMUD Wastewater Treatment Plant,15,"(-122.2926746, 37.8270912)"
EBMUD Wastewater Treatment Plant,16,"(-122.292804, 37.8271548)"
EBMUD Wastewater Treatment Plant,17,"(-122.2928341, 37.82724)"
EBMUD Wastewater Treatment Plant,18,"(-122.2932189, 37.8271637)"
EBMUD Wastewater Treatment Plant,19,"(-122.293225, 37.8272237)"
EBMUD Wastewater Treatment Plant,20,"(-122.2934566, 37.8272571)"
EBMUD Wastewater Treatment Plant,21,"(-122.2937212, 37.8272765)"
EBMUD Wastewater Treatment Plant,22,"(-122.2938809, 37.8272546)"
EBMUD Wastewater Treatment Plant,23,"(-122.2941777, 37.8271973)"
EBMUD Wastewater Treatment Plant,24,"(-122.2943274, 37.8271752)"
EBMUD Wastewater Treatment Plant,25,"(-122.2953185, 37.8269706)"
EBMUD Wastewater Treatment Plant,26,"(-122.2953333, 37.8269667)"
EBMUD Wastewater Treatment Plant,27,"(-122.2953491, 37.8269619)"
EBMUD Wastewater Treatment Plant,28,"(-122.2953661, 37.8269544)"
EBMUD Wastewater Treatment Plant,29,"(-122.2953807, 37.8269469)"
EBMUD Wastewater Treatment Plant,30,"(-122.2954638, 37.8269015)"
EBMUD Wastewater Treatment Plant,31,"(-122.2954865, 37.8268899)"
EBMUD Wastewater Treatment Plant,32,"(-122.2955094, 37.8268787)"
EBMUD Wastewater Treatment Plant,33,"(-122.2955361, 37.8268672)"
EBMUD Wastewater Treatment Plant,34,"(-122.2955631, 37.8268576)"
EBMUD Wastewater Treatment Plant,35,"(-122.2962989, 37.8265886)"
EBMUD Wastewater Treatment Plant,36,"(-122.2965904, 37.8264858)"
EBMUD Wastewater Treatment Plant,37,"(-122.2965545, 37.82638)"
EBMUD Wastewater Treatment Plant,38,"(-122.2998075, 37.8257411)"
EBMUD Wastewater Treatment Plant,39,"(-122.2993529, 37.824345)"
EBMUD Wastewater Treatment Plant,40,"(-122.2992255, 37.8243701)"
EBMUD Wastewater Treatment Plant,41,"(-122.2991314, 37.8242353)"
EBMUD Wastewater Treatment Plant,42,"(-122.2990068, 37.8241806)"
EBMUD Wastewater Treatment Plant,43,"(-122.297951, 37.8238992)"
EBMUD Wastewater Treatment Plant,44,"(-122.2979134, 37.8238716)"
EBMUD Wastewater Treatment Plant,45,"(-122.2972145, 37.8236941)"
EBMUD Wastewater Treatment Plant,46,"(-122.2971018, 37.8236812)"
EBMUD Wastewater Treatment Plant,47,"(-122.2969923, 37.8236856)"
EBMUD Wastewater Treatment Plant,48,"(-122.2963299, 37.8235239)"
EBMUD Wastewater Treatment Plant,49,"(-122.2963198, 37.8234795)"
EBMUD Wastewater Treatment Plant,50,"(-122.2958524, 37.8235457)"
EBMUD Wastewater Treatment Plant,51,"(-122.2957816, 37.8233495)"
EBMUD Wastewater Treatment Plant,52,"(-122.2953577, 37.8232469)"
EBMUD Wastewater Treatment Plant,53,"(-122.2952498, 37.823242)"
EBMUD Wastewater Treatment Plant,54,"(-122.2940298, 37.8229193)"
EBMUD Wastewater Treatment Plant,55,"(-122.293803, 37.8228723)"
EBMUD Wastewater Treatment Plant,56,"(-122.2935636, 37.8228464)"
EBMUD Wastewater Treatment Plant,57,"(-122.2932976, 37.8228337)"
EBMUD Wastewater Treatment Plant,58,"(-122.2930951, 37.8228457)"
Hyperion Wastewater Treatment Plant,0,"(-118.4291394, 33.9195675)"
Hyperion Wastewater Treatment Plant,1,"(-118.4316212, 33.9243409)"
Hyperion Wastewater Treatment Plant,2,"(-118.4316291, 33.9244394)"
Hyperion Wastewater Treatment Plant,3,"(-118.4318223, 33.9248176)"
Hyperion Wastewater Treatment Plant,4,"(-118.4318955, 33.9248806)"
Hyperion Wastewater Treatment Plant,5,"(-118.4320683, 33.9252113)"
Hyperion Wastewater Treatment Plant,6,"(-118.4331997, 33.9273807)"
Hyperion Wastewater Treatment Plant,7,"(-118.4333514, 33.9277217)"
Hyperion Wastewater Treatment Plant,8,"(-118.4338023, 33.9286692)"
Hyperion Wastewater Treatment Plant,9,"(-118.4346593, 33.9305923)"
Hyperion Wastewater Treatment Plant,10,"(-118.4346401, 33.9306382)"
Hyperion Wastewater Treatment Plant,11,"(-118.4345877, 33.9306876)"
Hyperion Wastewater Treatment Plant,12,"(-118.4336771, 33.9306842)"
Hyperion Wastewater Treatment Plant,13,"(-118.4336073, 33.930663)"
Hyperion Wastewater Treatment Plant,14,"(-118.4333101, 33.930663)"
Hyperion Wastewater Treatment Plant,15,"(-118.4330891, 33.9306888)"
Hyperion Wastewater Treatment Plant,16,"(-118.4303801, 33.9307092)"
Hyperion Wastewater Treatment Plant,17,"(-118.4293615, 33.9307479)"
Hyperion Wastewater Treatment Plant,18,"(-118.4292124, 33.9307543)"
Hyperion Wastewater Treatment Plant,19,"(-118.4291923, 33.930736)"
Hyperion Wastewater Treatment Plant,20,"(-118.428812, 33.9307527)"
Hyperion Wastewater Treatment Plant,21,"(-118.4288264, 33.9305582)"
Hyperion Wastewater Treatment Plant,22,"(-118.4288638, 33.9304391)"
Hyperion Wastewater Treatment Plant,23,"(-118.4291342, 33.9299731)"
